frame_num;sec;nsec;yaw;pitch;roll;north_c;east_c;down_c;north;east;down;vx;vy;vz;gimbal_roll;gimbal_pitch;gps_time_week
51;1664534695;778732996;1.37964;-0.0254177;0.00192599;208.019;-686.233;170.867;188.475;-675.289;1.52588e-05;-5.51147e-05;-8.26475e-05;-0.00377236;0.002;-0.005;0
52;1664534695;878693096;1.37965;-0.0254257;0.00190664;208.019;-686.233;170.867;188.475;-675.289;0.000427246;-0.000258926;0.000138262;-0.00310747;0.002;-0.005;0
53;1664534695;978656939;1.37963;-0.025413;0.00192445;208.013;-686.232;170.867;188.475;-675.289;-9.15527e-05;1.98797e-05;2.53848e-05;-0.00318457;0.003;-0.004;0
54;1664534696;78646589;1.37964;-0.0253885;0.00188498;208.013;-686.232;170.867;188.475;-675.289;-0.00111389;0.000473216;0.000296375;-0.00369815;-0.002;-0.004;0
55;1664534696;178648383;1.37965;-0.0253622;0.00185948;208.016;-686.233;170.868;188.474;-675.289;-0.000442505;0.00017943;0.000246693;-0.00446756;0.005;-0.005;0
56;1664534696;278610792;1.37967;-0.0253597;0.00184604;208.016;-686.233;170.868;188.474;-675.289;-0.000732422;-0.000125701;-0.000167026;-0.00469341;-0.008;-0.004;0
57;1664534696;378594637;1.37979;-0.0253583;0.00186323;208.016;-686.233;170.868;188.477;-675.289;-0.000411987;0.000259522;-0.000100461;-0.00536871;-0.007;-0.004;0
58;1664534696;478576242;1.37991;-0.0253515;0.00186882;208.016;-686.233;170.868;188.48;-675.289;-0.000717163;0.000363104;-0.000590302;-0.0054847;-0.012;0;0
59;1664534696;578592113;1.3795;-0.0253741;0.00187009;208.017;-686.233;170.868;188.483;-675.289;-0.00117493;0.000112736;-0.000402922;-0.00534942;0.008;0;0
60;1664534696;678566136;1.37981;-0.0253769;0.00188415;208.017;-686.233;170.868;188.485;-675.289;-0.0017395;0.000362558;-0.000294858;-0.00517701;-0.004;0.001;0
61;1664534696;778521539;1.37985;-0.0253939;0.00190346;208.016;-686.233;170.868;188.486;-675.289;-0.00204468;0.000405358;-0.000238394;-0.00510864;-0.008;0.002;0
62;1664534696;878493418;1.38048;-0.0253924;0.0019044;208.016;-686.233;170.868;188.487;-675.289;-0.00234985;0.000232409;-0.000377142;-0.00472158;-0.001;-0.003;0
63;1664534696;978462226;1.38033;-0.0253024;0.00187968;208.015;-686.232;170.868;188.487;-675.289;-0.00328064;0.000519611;-0.000846604;-0.00443781;0;-0.003;0
